128 ! Wave(Fixed by MZ) Es(cm-1) Ar  Aa  F2  Dielectronic Satellites (AUTOSTRUCTURE)Diel Satelites Argon n=3
3.997348	21903570	2.39E-04	5.16E-05	8.11E-08	4	1s2s3d(4D3/2)-1s(2)3p(2P3/2)
3.997532	21902420	6.71E-04	1.71E-05	3.75E-08	2	1s2s3d(4D1/2)-1s(2)3p(2P3/2)
4.009153	21856370	3.49E-04	7.90E-02	6.69E-05	4	1s2s3p(2P3/2)-1s(2)3d(2D3/2)
4.009177	21856220	3.58E-03	6.28E-02	2.70E-04	2	1s2s3p(2P1/2)-1s(2)3d(2D3/2)
4.009206	21821240	1.30E-03	3.44E+00	2.47E-03	2	1s2s3s(2S1/2)-1s(2)3p(2P1/2)
4.009584	21856370	7.91E-04	7.90E-02	1.52E-04	4	1s2s3p(2P3/2)-1s(2)3d(2D5/2)
4.009733	21852760	1.96E-05	2.53E-10	4.82E-12	6	1s2s3p(4P5/2)-1s(2)3d(2D3/2)
4.010164	21852760	2.49E-04	2.53E-10	6.14E-11	6	1s2s3p(4P5/2)-1s(2)3d(2D5/2)
4.010504	21821240	2.83E-04	3.44E+00	5.36E-04	2	1s2s3s(2S1/2)-1s(2)3p(2P3/2)
4.010627	21847170	2.60E-04	1.73E-02	6.74E-05	4	1s2s3p(4P3/2)-1s(2)3d(2D3/2)
4.010901	21845470	2.25E-04	3.63E-03	2.52E-05	2	1s2s3p(4P1/2)-1s(2)3d(2D3/2)
4.011059	21847170	2.57E-04	1.73E-02	6.66E-05	4	1s2s3p(4P3/2)-1s(2)3d(2D5/2)
4.019984	21754150	6.23E-05	1.83E-08	4.85E-11	4	1s2s3s(4S3/2)-1s(2)3p(2P1/2)
4.021289	21754150	2.75E-04	1.83E-08	2.14E-10	4	1s2s3s(4S3/2)-1s(2)3p(2P3/2)
