hidden_scaling,train_generations,repeat_idx,model_path,metric_l2_sample_mean_to_true_norm,metric_forward_rmse_norm,last_epoch_loss,last_recon_loss,last_kl_loss
1,200,9,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n200_r9.pt,0.1522478378802409,0.06727791754123884,0.7229126560688018,0.5357067143917084,0.1872059441357851
1,500,0,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n500_r0.pt,0.15765311501428064,0.05291498859257124,0.5838725246370785,0.5168583951299153,0.06701412665036817
1,500,1,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n500_r1.pt,0.13485523552381856,0.05071785376267887,0.35553463430158677,0.30956472521499984,0.04596991018791284
1,500,2,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n500_r2.pt,0.16179596095032533,0.07271764912846745,0.5733909805615743,0.44616079862628666,0.1272301802500373
1,500,3,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n500_r3.pt,0.1619446976754363,0.06033283348238349,0.3600790619495369,0.3019594447835097,0.058119620385003234
1,500,4,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n500_r4.pt,0.16408553593838898,0.08144055265198509,0.5478182789825258,0.4510300728300261,0.09678820522117709
1,500,5,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n500_r5.pt,0.1686117604391064,0.06440493266595548,0.523677405502115,0.44114162867504453,0.08253577823144576
1,500,6,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n500_r6.pt,0.14074176161270535,0.047929570128979374,0.37019340463337447,0.3337877619834173,0.03640564223603597
1,500,7,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n500_r7.pt,0.13269964936288095,0.04629468817588966,0.3621813122715269,0.3319751839079554,0.030206132362345383
1,500,8,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n500_r8.pt,0.1432758734450919,0.06488123993643093,0.5413617199612042,0.4422368649688978,0.09912485579797436
1,500,9,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n500_r9.pt,0.16801285108456257,0.06236495665898824,0.4163280621407524,0.3614796760772902,0.0548483839051591
1,900,0,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n900_r0.pt,0.13946801070735138,0.05508828939346868,0.2550149895910141,0.21571271840186246,0.039302270773971304
1,900,1,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n900_r1.pt,0.15561134923431919,0.04946668501068007,0.26562537389716745,0.22205493557967443,0.04357043876358003
1,900,2,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n900_r2.pt,0.14511054534587847,0.045754140575538844,0.27580548331668947,0.22146729970004705,0.05433818414823803
1,900,3,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n900_r3.pt,0.08471624465491595,0.03178197548748118,0.16876139312125413,0.15482312175486468,0.013938271503924368
1,900,4,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n900_r4.pt,0.13422272322284728,0.04266438736196417,0.31087290152775504,0.25350606052485186,0.05736684177969212
1,900,5,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n900_r5.pt,0.08237166278999095,0.034847388037843985,0.13126710822096968,0.12374293555266562,0.007524172677833636
1,900,6,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n900_r6.pt,0.12754107951852797,0.0390348331668847,0.2064291927139316,0.18165713822287796,0.02477205531729336
1,900,7,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n900_r7.pt,0.1267317816600519,0.04700988681212924,0.2124101274473741,0.1784750844920631,0.03393504457739882
1,900,8,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n900_r8.pt,0.05375396223148993,0.022175435227232337,0.170531942418455,0.1542186208596799,0.01631332143849644
1,900,9,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n900_r9.pt,0.16245019996591284,0.05728769963317746,0.28713311128054575,0.2229133356131811,0.06421977561636853
2,50,0,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s2_n50_r0.pt,0.17379153386509047,0.07989827810075929,0.8558949104377201,0.7746049038001469,0.08128999519561018
2,50,1,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s2_n50_r1.pt,0.20768826955088063,0.094710262732023,1.0027448109218053,0.9465358086994716,0.0562089965013521
2,50,2,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s2_n50_r2.pt,0.1730635887510457,0.10371053071267324,1.5438944101333618,1.312502145767212,0.23139226755925588
2,50,3,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s2_n50_r3.pt,0.105625647460547,0.06723572024395992,1.1722141419138228,0.9940290067877088,0.17818512182150567
2,50,4,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s2_n50_r4.pt,0.1467535836167739,0.08630876528923291,0.8775621397154671,0.7603770409311567,0.11718509226505246
2,50,5,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s2_n50_r5.pt,0.19575870043615348,0.10158281810298032,1.1857448944023676,1.0726945911134993,0.11305031393255506
2,50,6,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s2_n50_r6.pt,0.14339062878714787,0.07765006654231227,1.3656484612396784,1.1084387068237578,0.25720974590097156
2,50,7,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s2_n50_r7.pt,0.14345745624337522,0.07568269032979981,0.8800528304917472,0.7872079270226615,0.0928448997437954
2,50,8,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s2_n50_r8.pt,0.17783026520660644,0.09691200615562556,1.1654054011617387,1.1247607469558716,0.040644663253000805
2,50,9,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s2_n50_r9.pt,0.21167371924133724,0.10210921994269515,1.0675395216260637,0.9317319989204407,0.13580752430217607
2,100,0,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s2_n100_r0.pt,0.16554118129571954,0.0778383567046201,0.8274098634719849,0.7652838757404914,0.062125989522498384
2,100,1,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s2_n100_r1.pt,0.13767939677023386,0.07206802407004255,0.6682324913831857,0.5300585386844782,0.13817395842992342
2,100,2,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s2_n100_r2.pt,0.16321181480931932,0.0953623987407336,0.6304030464245722,0.48856894499980486,0.14183410056508505
2,100,3,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s2_n100_r3.pt,0.16680877704063152,0.07893324657733371,0.8364217052092919,0.5685570056621845,0.26786470284255653
2,100,4,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s2_n100_r4.pt,0.15398695453257447,0.07234542852461331,0.6438151930387204,0.4567672530045876,0.1870479334432345
2,100,5,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s2_n100_r5.pt,0.16924151237879445,0.0697720822353685,0.7562598104660327,0.607578321145131,0.14868149619836074
