baseNode,RUN01,,,,,,,,,,,,,,,
Root node,,,,,,,,,,,,,,,,
Root info,,,,,,,,,,,,,,,,
Run name,RUN01,,,,,,,,,,,,,,,
runInfo,,,,,,,,,,,,,,,,
Script info,,,,,,,,,,,,,,,,
Script name,RUN01,,,,,,,,,,,,,,,
scriptNode,RUN01,,,,,,,,,,,,,,,
Tree,bda,,,,,,,,,,,,,,,
Run info,,,,,,,,,,,,,,,,
,,,,Data,,,Time,,,Dimension 1,,,Dimension 2,,,
Node,Node,Node,Data node,Node type,Data,Unit,Description,Data,Unit,Description,Data,Unit,Description,Data,Unit,Description
PROFILES,R_MIDPLANE,,NFAST_ERR,SIGNAL,data['PROFILES']['R_MIDPLANE']['NFAST_ERR'],1 / meter ** 3,Density of fast ion error,,,,,,,,,
PROFILES,R_MIDPLANE,,NI,SIGNAL,data['PROFILES']['R_MIDPLANE']['NI'],1 / meter ** 3,Ion density,,,,,,,,,
PROFILES,R_MIDPLANE,,NIZ1,SIGNAL,data['PROFILES']['R_MIDPLANE']['NIZ1'],1 / meter ** 3,Density of impurity Z1,,,,,,,,,
PROFILES,R_MIDPLANE,,NIZ1_ERR,SIGNAL,data['PROFILES']['R_MIDPLANE']['NIZ1_ERR'],1 / meter ** 3,Density of impurity Z1 error,,,,,,,,,
PROFILES,R_MIDPLANE,,NIZ2,SIGNAL,data['PROFILES']['R_MIDPLANE']['NIZ2'],1 / meter ** 3,Density of impurity Z2,,,,,,,,,
PROFILES,R_MIDPLANE,,NIZ2_ERR,SIGNAL,data['PROFILES']['R_MIDPLANE']['NIZ2_ERR'],1 / meter ** 3,Density of impurity Z2 error,,,,,,,,,
PROFILES,R_MIDPLANE,,NIZ3,SIGNAL,data['PROFILES']['R_MIDPLANE']['NIZ3'],dimensionless,Density of impurity Z3,,,,,,,,,
PROFILES,R_MIDPLANE,,NIZ3_ERR,SIGNAL,data['PROFILES']['R_MIDPLANE']['NIZ3_ERR'],dimensionless,Density of impurity Z3 error,,,,,,,,,
PROFILES,R_MIDPLANE,,NI_ERR,SIGNAL,data['PROFILES']['R_MIDPLANE']['NI_ERR'],1 / meter ** 3,Ion density error,,,,,,,,,
PROFILES,R_MIDPLANE,,NNEUTR,SIGNAL,data['PROFILES']['R_MIDPLANE']['NNEUTR'],1 / meter ** 3,Density of neutral main ion,,,,,,,,,
PROFILES,R_MIDPLANE,,NNEUTR_ERR,SIGNAL,data['PROFILES']['R_MIDPLANE']['NNEUTR_ERR'],1 / meter ** 3,Density of neutral main ion error,,,,,,,,,
PROFILES,R_MIDPLANE,,P,SIGNAL,data['PROFILES']['R_MIDPLANE']['P'],dimensionless,Pressure,,,,,,,,,
PROFILES,R_MIDPLANE,,RPOS,NUMERIC,data['PROFILES']['R_MIDPLANE']['RPOS'],meter,Major radius position of measurement,,,,,,,,,
PROFILES,R_MIDPLANE,,TE,SIGNAL,data['PROFILES']['R_MIDPLANE']['TE'],eV,Electron temperature,,,,,,,,,
