£
£  KB1 V06 - MkGB-SR simply extended septum chord onto replacement plate
£
*Bolometry/KB1/MkGB-SR/kb1/54550/63446
34 5 lines
'KB1/LOHC/ 10'    6.132100   -0.817700    2.652500    2.020000  140.801900
£
£  BOLOMETERS
£
*Bolometry/KB1/Limiter/kb1/1/28791
34 4 bol91
'B1-VC01',   +3.06,    -2.701,   1.1380,    1.000,  CNAME WR ZR THETA
'B1-VC02',   +3.06,    -2.701,   1.2038,    1.000,  CNAME WR ZR THETA
'B1-VC03',   +3.06,    -2.701,   1.2697,    1.000,  CNAME WR ZR THETA
'B1-VC04',   +3.06,    -2.701,   1.3356,    1.000,  CNAME WR ZR THETA
'B1-VC05',   +3.06,    -2.701,   1.4015,    1.000,  CNAME WR ZR THETA
'B1-VC06',   +3.06,    -2.701,   1.4674,    1.000,  CNAME WR ZR THETA
'B1-VC07',   +3.06,    -2.701,   1.5333,    1.000,  CNAME WR ZR THETA
'B1-VC08',   +3.06,    -2.701,  -1.5424,    1.000,  CNAME WR ZR THETA
'B1-VC09',   +3.06,    -2.701,  -1.4765,    1.000,  CNAME WR ZR THETA
'B1-VC10',   +3.06,    -2.701,  -1.4106,    1.000,  CNAME WR ZR THETA
'B1-VC11',   +3.06,    -2.701,  -1.3447,    1.000,  CNAME WR ZR THETA
'B1-VC12',   +3.06,    -2.701,  -1.2789,    1.000,  CNAME WR ZR THETA
'B1-VC13',   +3.06,    -2.701,  -1.2130,    1.000,  CNAME WR ZR THETA
'B1-VC14',   +3.06,    -2.701,  -1.1471,    1.000,  CNAME WR ZR THETA
'B1-UH01',   +5.782,   +0.5156,  +.159261,  1.240,  CNAME WR ZR THETA
'B1-UH02',   +5.782,   +0.5156,  +.224711,  1.000,  CNAME WR ZR THETA
'B1-UH03',   +5.782,   +0.5156,  +.290161,  1.000,  CNAME WR ZR THETA
'B1-UH04',   +5.782,   +0.5156,  +.355611,  1.000,  CNAME WR ZR THETA
'B1-UH05',   +5.782,   +0.5156,  +.421061,  1.000,  CNAME WR ZR THETA
'B1-UH06',   +5.782,   +0.5156,  +.486511,  1.000,  CNAME WR ZR THETA
'B1-UH07',   +5.782,   +0.5156,  +.551960,  1.000,  CNAME WR ZR THETA
'B1-UH08',   +5.782,   +0.5156,  +.617410,  1.000,  CNAME WR ZR THETA
'B1-UH09',   +5.782,   +0.5156,  +.682860,  1.000,  CNAME WR ZR THETA
'B1-UH10',   +5.782,   +0.5156,  +.731948,  1.000,  CNAME WR ZR THETA
'B1-LH01',   +5.775,   -0.5291,  -.127186,  1.960,  CNAME WR ZR THETA
'B1-LH02',   +5.775,   -0.5291,  -.191999,  1.000,  CNAME WR ZR THETA
'B1-LH03',   +5.775,   -0.5291,  -.256949,  1.000,  CNAME WR ZR THETA
'B1-LH04',   +5.775,   -0.5291,  -.322038,  1.000,  CNAME WR ZR THETA
'B1-LH05',   +5.775,   -0.5291,  -.387269,  1.000,  CNAME WR ZR THETA
'B1-LH06',   +5.775,   -0.5291,  -.452644,  1.000,  CNAME WR ZR THETA
'B1-LH07',   +5.775,   -0.5291,  -.518164,  1.000,  CNAME WR ZR THETA
'B1-LH08',   +5.775,   -0.5291,  -.583830,  1.000,  CNAME WR ZR THETA
'B1-LH09',   +5.775,   -0.5291,  -.649641,  1.000,  CNAME WR ZR THETA
'B1-LH10',   +5.775,   -0.5291,  -.715698,  1.000,  CNAME WR ZR THETA

£
£  KB3 New cameras KB3H03,KB3H04,KB3H05 updated for MkIIlbsrp 22/01/10 from G.Sergienko
£
*Bolometry/KB3/MkIIlbsrp/kb3/63718/1000000
28 5 lines
'301A  (KB3H01A)'	3.0471    -1.4263    1.8072     0.3796    124.4720
'301B  (KB3H01B)'	3.0440    -1.4304    1.8687    -0.3335    136.9750
'301C  (KB3H01C)'	3.0410    -1.4344    2.0319    -0.8394    149.4760
'301D  (KB3H01D)'	3.0379	  -1.4385    2.1621    -1.1533    161.9610
'302A  (KB3H02A)'	3.0451	  -1.4237    2.2136    -1.2571    168.6720
'302B  (KB3H02B)'	3.0455	  -1.4288    2.4111    -1.4194    179.1470
'302C  (KB3H02C)'	3.0459	  -1.4338    2.4050    -1.5424    189.6190
'302D  (KB3H02D)'	3.0463	  -1.4389    2.4112    -1.6713    200.0960
'303A  (KB3H03A)'	3.0082	  -1.5226    1.9469    -0.6321    140.0000
'303B  (KB3H03B)'	3.0082	  -1.5276    2.1189    -1.0490    151.7140
