pulse,time_s
13853,0.08000000000000002
13853,0.09000000000000001
13853,0.1
13853,0.11000000000000001
13853,0.12000000000000002
13853,0.13000000000000003
13854,0.04
13854,0.07
13854,0.09000000000000001
13854,0.1
13854,0.11000000000000001
13854,0.12000000000000002
13854,0.13000000000000003
13854,0.14
13854,0.15000000000000002
13855,0.07
13855,0.08000000000000002
13855,0.09000000000000001
13855,0.1
13855,0.11000000000000001
13855,0.12000000000000002
13855,0.13000000000000003
13855,0.14
13855,0.15000000000000002
13856,0.07
13856,0.1
13856,0.14
13856,0.15000000000000002
13857,0.04
13857,0.07
13857,0.1
13857,0.11000000000000001
13857,0.14
13858,0.04
13858,0.07
13858,0.09000000000000001
13858,0.1
13858,0.11000000000000001
13858,0.14
13858,0.15000000000000002
13859,0.07
13859,0.08000000000000002
13859,0.09000000000000001
13859,0.1
13859,0.11000000000000001
13859,0.12000000000000002
13859,0.13000000000000003
13859,0.14
13860,0.04
13860,0.07
13860,0.08000000000000002
13860,0.09000000000000001
13860,0.1
13860,0.11000000000000001
13860,0.12000000000000002
13860,0.13000000000000003
13860,0.14
13861,0.04
13861,0.07
13861,0.1
13861,0.11000000000000001
13861,0.12000000000000002
13861,0.13000000000000003
13861,0.14
13862,0.04
13862,0.07
13862,0.1
13862,0.11000000000000001
13862,0.14
13862,0.15000000000000002
13863,0.04
13863,0.1
13863,0.11000000000000001
13863,0.13000000000000003
13863,0.14
13866,0.04
13866,0.07
13866,0.09000000000000001
13866,0.1
13866,0.11000000000000001
13866,0.13000000000000003
13866,0.14
13866,0.15000000000000002
13868,0.07
13868,0.08000000000000002
13868,0.09000000000000001
13868,0.1
13868,0.11000000000000001
13868,0.14
13868,0.15000000000000002
13869,0.04
13869,0.07
13869,0.08000000000000002
13869,0.09000000000000001
13869,0.1
13869,0.11000000000000001
13869,0.12000000000000002
13869,0.13000000000000003
13869,0.14
13870,0.05
13870,0.12000000000000002
13871,0.04
13871,0.05
13872,0.04
13872,0.1
13872,0.11000000000000001
13872,0.12000000000000002
13872,0.13000000000000003
13872,0.14
13879,0.04
13879,0.07
13879,0.08000000000000002
13879,0.09000000000000001
13879,0.1
13879,0.11000000000000001
13879,0.12000000000000002
13879,0.13000000000000003
13879,0.14
13880,0.05
13880,0.060000000000000005
13880,0.1
13880,0.12000000000000002
13880,0.13000000000000003
13880,0.14
13880,0.15000000000000002
13881,0.04
13881,0.060000000000000005
13881,0.11000000000000001
13881,0.12000000000000002
13881,0.13000000000000003
13881,0.14
13881,0.15000000000000002
13883,0.1
13883,0.11000000000000001
13883,0.13000000000000003
13883,0.14
13883,0.15000000000000002
13884,0.05
13884,0.060000000000000005
13884,0.07
13884,0.1
13884,0.12000000000000002
13885,0.04
13885,0.05
13885,0.060000000000000005
13885,0.07
13885,0.1
13885,0.12000000000000002
13885,0.15000000000000002
13888,0.04
13888,0.05
13888,0.060000000000000005
13888,0.07
13888,0.1
13888,0.12000000000000002
13889,0.04
13889,0.05
13889,0.060000000000000005
13889,0.07
13889,0.09000000000000001
13889,0.1
13889,0.11000000000000001
13889,0.12000000000000002
13889,0.13000000000000003
13889,0.14
13889,0.15000000000000002
13890,0.05
13890,0.060000000000000005
13890,0.07
13890,0.1
13890,0.11000000000000001
13890,0.12000000000000002
13890,0.13000000000000003
13890,0.14
13890,0.15000000000000002
13899,0.04
13899,0.07
13899,0.08000000000000002
13899,0.09000000000000001
13899,0.1
13899,0.11000000000000001
13899,0.12000000000000002
13899,0.13000000000000003
13899,0.14
13899,0.15000000000000002
13900,0.04
13900,0.07
13900,0.08000000000000002
13900,0.09000000000000001
13900,0.1
13900,0.11000000000000001
13900,0.13000000000000003
13900,0.14
13901,0.07
13901,0.1
13901,0.11000000000000001
13901,0.14
13902,0.07
13902,0.08000000000000002
13902,0.09000000000000001
13902,0.1
13902,0.14
13902,0.15000000000000002
13903,0.04
13903,0.07
13903,0.08000000000000002
13903,0.09000000000000001
13903,0.1
13903,0.11000000000000001
13903,0.12000000000000002
13903,0.13000000000000003
13903,0.14
13903,0.15000000000000002
13904,0.04
13904,0.060000000000000005
13904,0.07
13904,0.08000000000000002
13904,0.09000000000000001
13904,0.1
13904,0.11000000000000001
13904,0.12000000000000002
13904,0.13000000000000003
13904,0.14
13904,0.15000000000000002
13905,0.04
13905,0.060000000000000005
13905,0.07
13905,0.08000000000000002
13905,0.09000000000000001
13905,0.1
13905,0.11000000000000001
13905,0.12000000000000002
13905,0.13000000000000003
13905,0.14
13905,0.15000000000000002
13906,0.04
13906,0.060000000000000005
13906,0.07
13906,0.08000000000000002
13906,0.09000000000000001
13906,0.1
13906,0.11000000000000001
13906,0.12000000000000002
13906,0.13000000000000003
13906,0.15000000000000002
13907,0.04
13907,0.060000000000000005
13907,0.07
13907,0.08000000000000002
13907,0.09000000000000001
13907,0.1
13907,0.11000000000000001
13907,0.12000000000000002
13907,0.13000000000000003
13907,0.15000000000000002
13908,0.04
13908,0.05
13908,0.060000000000000005
13908,0.09000000000000001
13908,0.1
13908,0.11000000000000001
13908,0.12000000000000002
13908,0.15000000000000002
13909,0.060000000000000005
13909,0.09000000000000001
13909,0.11000000000000001
13909,0.12000000000000002
13909,0.13000000000000003
13910,0.09000000000000001
13910,0.1
13910,0.11000000000000001
13910,0.13000000000000003
13911,0.05
13911,0.09000000000000001
13911,0.1
13911,0.12000000000000002
13911,0.13000000000000003
13911,0.15000000000000002
13912,0.11000000000000001
13912,0.12000000000000002
13912,0.13000000000000003
