sample_idx,pulse,t_s,timepoint_index,n_timepoints_for_pulse
503,11577,0.14961373805999756,7,8
504,11578,0.041974250227212906,0,8
505,11578,0.059370528906583786,1,8
506,11578,0.07513590902090073,2,8
507,11578,0.08981402218341827,3,8
508,11578,0.10286123305559158,4,8
509,11578,0.11753933876752853,5,8
510,11578,0.13058654963970184,6,8
511,11578,0.14961373805999756,7,8
512,11579,0.041974250227212906,0,8
513,11579,0.059370528906583786,1,8
514,11579,0.07513590902090073,2,8
515,11579,0.08981402218341827,3,8
516,11579,0.10286123305559158,4,8
517,11579,0.11753933876752853,5,8
518,11579,0.13058654963970184,6,8
519,11579,0.14961373805999756,7,8
520,11582,0.041974250227212906,0,8
521,11582,0.059370528906583786,1,8
522,11582,0.07513590902090073,2,8
523,11582,0.08981402218341827,3,8
524,11582,0.10286123305559158,4,8
525,11582,0.11753933876752853,5,8
526,11582,0.13058654963970184,6,8
527,11582,0.14961373805999756,7,8
528,11807,0.041974250227212906,0,8
529,11807,0.059370528906583786,1,8
530,11807,0.07404863834381104,2,8
531,11807,0.08872675150632858,3,8
532,11807,0.10177396237850189,4,8
